REPOSITORY                                      TAG                                    IMAGE ID       CREATED         SIZE
erlang                                          22.3-alpine                            77d4df612cc0   29 hours ago    69.6MB
erlang                                          22.3.4-alpine                          77d4df612cc0   29 hours ago    69.6MB
erlang                                          22.3.4.26-alpine                       77d4df612cc0   29 hours ago    69.6MB
elixir                                          1.8-otp-22                             8afce4952c88   29 hours ago    1.23GB
elixir                                          1.8.2-otp-22                           8afce4952c88   29 hours ago    1.23GB
elixir                                          1.9-slim                               611cfe77e1d4   29 hours ago    272MB
elixir                                          1.9.4-slim                             611cfe77e1d4   29 hours ago    272MB
elixir                                          1.9                                    6a18ad899f2b   29 hours ago    1.23GB
elixir                                          1.9.4                                  6a18ad899f2b   29 hours ago    1.23GB
elixir                                          1.10-slim                              b0d27998090f   29 hours ago    273MB
elixir                                          1.10.4-slim                            b0d27998090f   29 hours ago    273MB
elixir                                          1.10                                   6f1b1fa94594   29 hours ago    1.23GB
elixir                                          1.10.4                                 6f1b1fa94594   29 hours ago    1.23GB
elixir                                          1.11-alpine                            390f6042e4da   29 hours ago    85.6MB
elixir                                          1.11.4-alpine                          390f6042e4da   29 hours ago    85.6MB
elixir                                          1.11-slim                              0f8a3c7492ea   29 hours ago    277MB
elixir                                          1.11.4-slim                            0f8a3c7492ea   29 hours ago    277MB
elixir                                          1.11                                   e887729b30cf   29 hours ago    1.24GB
elixir                                          1.11.4                                 e887729b30cf   29 hours ago    1.24GB
elixir                                          1.12-alpine                            88b346da94f7   29 hours ago    88.8MB
elixir                                          1.12.3-alpine                          88b346da94f7   29 hours ago    88.8MB
elixir                                          1.12-slim                              26a0b3c69722   29 hours ago    290MB
elixir                                          1.12.3-slim                            26a0b3c69722   29 hours ago    290MB
elixir                                          1.12                                   65b67fd8cbbc   29 hours ago    1.47GB
elixir                                          1.12.3                                 65b67fd8cbbc   29 hours ago    1.47GB
elixir                                          1.13-otp-25-slim                       474f33ffba8c   29 hours ago    292MB
elixir                                          1.13.4-otp-25-slim                     474f33ffba8c   29 hours ago    292MB
elixir                                          1.13-otp-25-alpine                     1428fea037c3   29 hours ago    88.2MB
elixir                                          1.13.4-otp-25-alpine                   1428fea037c3   29 hours ago    88.2MB
elixir                                          1.13-otp-23-slim                       c5206e95c8a4   29 hours ago    271MB
elixir                                          1.13.4-otp-23-slim                     c5206e95c8a4   29 hours ago    271MB
elixir                                          1.13-alpine                            253e5a61a83e   29 hours ago    89MB
elixir                                          1.13.4-alpine                          253e5a61a83e   29 hours ago    89MB
elixir                                          1.13-slim                              6185e9621637   29 hours ago    290MB
elixir                                          1.13.4-slim                            6185e9621637   29 hours ago    290MB
elixir                                          1.13                                   a708ce30227d   29 hours ago    1.47GB
elixir                                          1.13.4                                 a708ce30227d   29 hours ago    1.47GB
elixir                                          1.14-otp-25-slim                       75976381f72f   29 hours ago    292MB
elixir                                          1.14.5-otp-25-slim                     75976381f72f   29 hours ago    292MB
elixir                                          1.14-otp-25-alpine                     536749532de0   29 hours ago    88.5MB
elixir                                          1.14.5-otp-25-alpine                   536749532de0   29 hours ago    88.5MB
elixir                                          1.14-otp-24-slim                       08734bbd3d69   29 hours ago    291MB
elixir                                          1.14.5-otp-24-slim                     08734bbd3d69   29 hours ago    291MB
elixir                                          1.14-otp-24-alpine                     af7bdf7a6387   29 hours ago    89.3MB
elixir                                          1.14.5-otp-24-alpine                   af7bdf7a6387   29 hours ago    89.3MB
elixir                                          1.14-alpine                            e5dfaeec93a5   29 hours ago    88.9MB
elixir                                          1.14.5-alpine                          e5dfaeec93a5   29 hours ago    88.9MB
elixir                                          1.14-slim                              b84449828d8a   29 hours ago    298MB
elixir                                          1.14.5-slim                            b84449828d8a   29 hours ago    298MB
elixir                                          1.15-otp-25-slim                       83ee886e6690   29 hours ago    293MB
elixir                                          1.15.1-otp-25-slim                     83ee886e6690   29 hours ago    293MB
elixir                                          otp-25-slim                            83ee886e6690   29 hours ago    293MB
elixir                                          1.15-otp-25-alpine                     9eff9e44f720   29 hours ago    88.8MB
elixir                                          1.15.1-otp-25-alpine                   9eff9e44f720   29 hours ago    88.8MB
elixir                                          otp-25-alpine                          9eff9e44f720   29 hours ago    88.8MB
elixir                                          1.15-otp-24-slim                       89da628d72e8   29 hours ago    291MB
elixir                                          1.15.1-otp-24-slim                     89da628d72e8   29 hours ago    291MB
elixir                                          otp-24-slim                            89da628d72e8   29 hours ago    291MB
elixir                                          1.15-otp-24-alpine                     f0afd68a1580   29 hours ago    89.6MB
elixir                                          1.15.1-otp-24-alpine                   f0afd68a1580   29 hours ago    89.6MB
elixir                                          otp-24-alpine                          f0afd68a1580   29 hours ago    89.6MB
elixir                                          1.15-otp-24                            a047aa8e6cd4   29 hours ago    1.47GB
elixir                                          1.15.1-otp-24                          a047aa8e6cd4   29 hours ago    1.47GB
elixir                                          otp-24                                 a047aa8e6cd4   29 hours ago    1.47GB
elixir                                          1.15-alpine                            a6c182a80c02   29 hours ago    89.2MB
elixir                                          1.15.1-alpine                          a6c182a80c02   29 hours ago    89.2MB
elixir                                          alpine                                 a6c182a80c02   29 hours ago    89.2MB
elixir                                          1.15-slim                              f082dd03ccfd   29 hours ago    299MB
elixir                                          1.15.1-slim                            f082dd03ccfd   29 hours ago    299MB
elixir                                          slim                                   f082dd03ccfd   29 hours ago    299MB
<none>                                          <none>                                 064194e10ddf   30 hours ago    646MB
<none>                                          <none>                                 c7eebc160248   30 hours ago    7.33MB
amazoncorretto                                  20-alpine                              f04e9cc4bb74   30 hours ago    307MB
